Grav(average),Grav(larger),Grav(smaller),PA PM2.5 avg
96.90434161,111.6323593,82.2,13.75161765
66.39551071,81.5113733,51.3,13.79227273
53.77579147,63.83236743,43.7,21.2632323
40.61663628,50.32326443,30.9,23.9223301
13.83467219,15.91674998,11.8,12.3137
648.8705969,671.2741297,626.5,169.3463636
677.8205292,694.2792446,661.4,160.9558333
118.1202834,135.8404225,100.4,32.14375
108.477952,122.7611105,94.2,22.30516
663.6218609,683.0455595,644.2,162.688431
10.03527318,11.44302701,8.6,0.863505
78.39004179,99.29167497,57.5,18.875
